subjectID ActivityDesc FeatureDesc FeatureValue
36 6 SITTING fBodyAcc-mean()-X -0.975351454727273
37 7 SITTING fBodyAcc-mean()-X -0.972697126875
38 8 SITTING fBodyAcc-mean()-X -0.981142909782609
39 9 SITTING fBodyAcc-mean()-X -0.959413594
40 10 SITTING fBodyAcc-mean()-X -0.984943144259259
41 11 SITTING fBodyAcc-mean()-X -0.981481454339623
42 12 SITTING fBodyAcc-mean()-X -0.97966614372549
43 13 SITTING fBodyAcc-mean()-X -0.990135477755102
44 14 SITTING fBodyAcc-mean()-X -0.976456609259259
45 15 SITTING fBodyAcc-mean()-X -0.986619609491525
46 16 SITTING fBodyAcc-mean()-X -0.987043828985507
47 17 SITTING fBodyAcc-mean()-X -0.9939693815625
48 18 SITTING fBodyAcc-mean()-X -0.993144920175439
49 19 SITTING fBodyAcc-mean()-X -0.979238031780822
50 20 SITTING fBodyAcc-mean()-X -0.981203064242424
51 21 SITTING fBodyAcc-mean()-X -0.990610228
52 22 SITTING fBodyAcc-mean()-X -0.978505368225806
53 23 SITTING fBodyAcc-mean()-X -0.986325670882353
54 24 SITTING fBodyAcc-mean()-X -0.989529506764706
55 25 SITTING fBodyAcc-mean()-X -0.991405498153846
56 26 SITTING fBodyAcc-mean()-X -0.982579546025641
57 27 SITTING fBodyAcc-mean()-X -0.988682108428571
58 28 SITTING fBodyAcc-mean()-X -0.979820142638889
59 29 SITTING fBodyAcc-mean()-X -0.991093963666667
60 30 SITTING fBodyAcc-mean()-X -0.985008785
61 1 STANDING fBodyAcc-mean()-X -0.995249932641509
62 2 STANDING fBodyAcc-mean()-X -0.983946739814815
63 3 STANDING fBodyAcc-mean()-X -0.960123409508197
64 4 STANDING fBodyAcc-mean()-X -0.973497549642857
65 5 STANDING fBodyAcc-mean()-X -0.964500917321429
66 6 STANDING fBodyAcc-mean()-X -0.977100287368421
67 7 STANDING fBodyAcc-mean()-X -0.976681834339623
68 8 STANDING fBodyAcc-mean()-X -0.988219862222222
69 9 STANDING fBodyAcc-mean()-X -0.971662692
70 10 STANDING fBodyAcc-mean()-X -0.970099814318182
71 11 STANDING fBodyAcc-mean()-X -0.993808050638298
72 12 STANDING fBodyAcc-mean()-X -0.976469472295082
73 13 STANDING fBodyAcc-mean()-X -0.989425965614035
74 14 STANDING fBodyAcc-mean()-X -0.9726995625
75 15 STANDING fBodyAcc-mean()-X -0.986724998867925
76 16 STANDING fBodyAcc-mean()-X -0.989427670897436
77 17 STANDING fBodyAcc-mean()-X -0.990927533846154
78 18 STANDING fBodyAcc-mean()-X -0.990409919315068
79 19 STANDING fBodyAcc-mean()-X -0.987352048356164
80 20 STANDING fBodyAcc-mean()-X -0.96193272890411
81 21 STANDING fBodyAcc-mean()-X -0.978327686179775
82 22 STANDING fBodyAcc-mean()-X -0.980373909206349
83 23 STANDING fBodyAcc-mean()-X -0.983627197058824
84 24 STANDING fBodyAcc-mean()-X -0.984183633623188
85 25 STANDING fBodyAcc-mean()-X -0.990093202837838
86 26 STANDING fBodyAcc-mean()-X -0.991993372297297
87 27 STANDING fBodyAcc-mean()-X -0.99012181225
88 28 STANDING fBodyAcc-mean()-X -0.97251980164557
89 29 STANDING fBodyAcc-mean()-X -0.995024039692308
90 30 STANDING fBodyAcc-mean()-X -0.972014050847458
91 1 WALKING fBodyAcc-mean()-X -0.202794306326316
92 2 WALKING fBodyAcc-mean()-X -0.346048161016949
93 3 WALKING fBodyAcc-mean()-X -0.316614011689655
94 4 WALKING fBodyAcc-mean()-X -0.426719449666667
95 5 WALKING fBodyAcc-mean()-X -0.287782607410714
96 6 WALKING fBodyAcc-mean()-X -0.187934323140351
97 7 WALKING fBodyAcc-mean()-X -0.343048405789474
98 8 WALKING fBodyAcc-mean()-X -0.247389011875
99 9 WALKING fBodyAcc-mean()-X -0.294711163653846
100 10 WALKING fBodyAcc-mean()-X -0.114190001283019
101 11 WALKING fBodyAcc-mean()-X -0.396533731864407
102 12 WALKING fBodyAcc-mean()-X -0.05435763951
103 13 WALKING fBodyAcc-mean()-X -0.335030121052632
104 14 WALKING fBodyAcc-mean()-X -0.421498172542373
105 15 WALKING fBodyAcc-mean()-X -0.31744092037037
106 16 WALKING fBodyAcc-mean()-X -0.394790433529412
107 17 WALKING fBodyAcc-mean()-X -0.360991674918033
108 18 WALKING fBodyAcc-mean()-X -0.37147515625
109 19 WALKING fBodyAcc-mean()-X -0.0299815666923077
110 20 WALKING fBodyAcc-mean()-X -0.147404272166667
111 21 WALKING fBodyAcc-mean()-X -0.273496158519231
112 22 WALKING fBodyAcc-mean()-X -0.0994928588891304
113 23 WALKING fBodyAcc-mean()-X -0.275404187920339
114 24 WALKING fBodyAcc-mean()-X -0.492419802586207
115 25 WALKING fBodyAcc-mean()-X -0.609038908918919
116 26 WALKING fBodyAcc-mean()-X -0.321959549661017
117 27 WALKING fBodyAcc-mean()-X -0.308702374385965
118 28 WALKING fBodyAcc-mean()-X -0.280062182962963
119 29 WALKING fBodyAcc-mean()-X -0.135819505761321
120 30 WALKING fBodyAcc-mean()-X -0.351402910907692
121 1 WALKING_DOWNSTAIRS fBodyAcc-mean()-X 0.0382291831510204
122 2 WALKING_DOWNSTAIRS fBodyAcc-mean()-X 0.112841160325532
123 3 WALKING_DOWNSTAIRS fBodyAcc-mean()-X -0.0421706943244898
124 4 WALKING_DOWNSTAIRS fBodyAcc-mean()-X -0.0722392276888889
125 5 WALKING_DOWNSTAIRS fBodyAcc-mean()-X 0.0984320090212766
126 6 WALKING_DOWNSTAIRS fBodyAcc-mean()-X 0.328308506041667
127 7 WALKING_DOWNSTAIRS fBodyAcc-mean()-X 0.0443428315319149
128 8 WALKING_DOWNSTAIRS fBodyAcc-mean()-X 0.136590199860526
129 9 WALKING_DOWNSTAIRS fBodyAcc-mean()-X 0.103128506197619
130 10 WALKING_DOWNSTAIRS fBodyAcc-mean()-X 0.215665273157895
131 11 WALKING_DOWNSTAIRS fBodyAcc-mean()-X 0.0351937228130435
132 12 WALKING_DOWNSTAIRS fBodyAcc-mean()-X 0.0235049348717391
133 13 WALKING_DOWNSTAIRS fBodyAcc-mean()-X -0.0726602663212766
134 14 WALKING_DOWNSTAIRS fBodyAcc-mean()-X 0.0212541553977778
135 15 WALKING_DOWNSTAIRS fBodyAcc-mean()-X 0.235309825547619
136 16 WALKING_DOWNSTAIRS fBodyAcc-mean()-X 0.0368263528276596
137 17 WALKING_DOWNSTAIRS fBodyAcc-mean()-X -0.0226239171245652
138 18 WALKING_DOWNSTAIRS fBodyAcc-mean()-X -0.350086793272727
139 19 WALKING_DOWNSTAIRS fBodyAcc-mean()-X 0.537012022051282
140 20 WALKING_DOWNSTAIRS fBodyAcc-mean()-X -0.0343309987555556
141 21 WALKING_DOWNSTAIRS fBodyAcc-mean()-X 0.104323529982222
142 22 WALKING_DOWNSTAIRS fBodyAcc-mean()-X 0.195348406222222
143 23 WALKING_DOWNSTAIRS fBodyAcc-mean()-X 0.205428216353704
144 24 WALKING_DOWNSTAIRS fBodyAcc-mean()-X -0.222324293454545
145 25 WALKING_DOWNSTAIRS fBodyAcc-mean()-X -0.372245192931034
146 26 WALKING_DOWNSTAIRS fBodyAcc-mean()-X 0.022800096142
147 27 WALKING_DOWNSTAIRS fBodyAcc-mean()-X 0.0829831545090909
148 28 WALKING_DOWNSTAIRS fBodyAcc-mean()-X 0.0890721752173913
149 29 WALKING_DOWNSTAIRS fBodyAcc-mean()-X 0.110663200244167
150 30 WALKING_DOWNSTAIRS fBodyAcc-mean()-X -0.106966957087097
151 1 WALKING_UPSTAIRS fBodyAcc-mean()-X -0.404321784150943
152 2 WALKING_UPSTAIRS fBodyAcc-mean()-X -0.266720933270833
153 3 WALKING_UPSTAIRS fBodyAcc-mean()-X -0.392004211474576
154 4 WALKING_UPSTAIRS fBodyAcc-mean()-X -0.294488270365385
155 5 WALKING_UPSTAIRS fBodyAcc-mean()-X -0.161485339978723
156 6 WALKING_UPSTAIRS fBodyAcc-mean()-X -0.131075372803922
157 7 WALKING_UPSTAIRS fBodyAcc-mean()-X -0.336199426470588
158 8 WALKING_UPSTAIRS fBodyAcc-mean()-X -0.166411065387805
159 9 WALKING_UPSTAIRS fBodyAcc-mean()-X -0.342735952653061
160 10 WALKING_UPSTAIRS fBodyAcc-mean()-X -0.139410790617021
161 11 WALKING_UPSTAIRS fBodyAcc-mean()-X -0.355348902222222
162 12 WALKING_UPSTAIRS fBodyAcc-mean()-X -0.321447925192308
163 13 WALKING_UPSTAIRS fBodyAcc-mean()-X -0.382460736363636
164 14 WALKING_UPSTAIRS fBodyAcc-mean()-X -0.323508442240741
165 15 WALKING_UPSTAIRS fBodyAcc-mean()-X -0.0746328434375
166 16 WALKING_UPSTAIRS fBodyAcc-mean()-X -0.474984014705882
167 17 WALKING_UPSTAIRS fBodyAcc-mean()-X -0.1397522212625
168 18 WALKING_UPSTAIRS fBodyAcc-mean()-X -0.465097261896552
169 19 WALKING_UPSTAIRS fBodyAcc-mean()-X -0.15687949467775
170 20 WALKING_UPSTAIRS fBodyAcc-mean()-X -0.140439074776471
171 21 WALKING_UPSTAIRS fBodyAcc-mean()-X -0.319169340234043
172 22 WALKING_UPSTAIRS fBodyAcc-mean()-X -0.0553996485285714
173 23 WALKING_UPSTAIRS fBodyAcc-mean()-X -0.272605689568627
174 24 WALKING_UPSTAIRS fBodyAcc-mean()-X -0.395790553898305
175 25 WALKING_UPSTAIRS fBodyAcc-mean()-X -0.521649838769231
176 26 WALKING_UPSTAIRS fBodyAcc-mean()-X -0.242820756127273
177 27 WALKING_UPSTAIRS fBodyAcc-mean()-X -0.417607401176471
178 28 WALKING_UPSTAIRS fBodyAcc-mean()-X -0.266101343372549
179 29 WALKING_UPSTAIRS fBodyAcc-mean()-X -0.109793480008163
180 30 WALKING_UPSTAIRS fBodyAcc-mean()-X -0.420402828153846
181 1 LAYING fBodyAcc-mean()-Y -0.86706520518
182 2 LAYING fBodyAcc-mean()-Y -0.979800877916667
183 3 LAYING fBodyAcc-mean()-Y -0.961169982903226
184 4 LAYING fBodyAcc-mean()-Y -0.938883374444444
185 5 LAYING fBodyAcc-mean()-Y -0.965419520961538
186 6 LAYING fBodyAcc-mean()-Y -0.923706791403509
187 7 LAYING fBodyAcc-mean()-Y -0.942193953846154
188 8 LAYING fBodyAcc-mean()-Y -0.951816663703704
189 9 LAYING fBodyAcc-mean()-Y -0.9343665984
190 10 LAYING fBodyAcc-mean()-Y -0.954341849137931
191 11 LAYING fBodyAcc-mean()-Y -0.971403935438596
192 12 LAYING fBodyAcc-mean()-Y -0.951265971
193 13 LAYING fBodyAcc-mean()-Y -0.965843757258064
194 14 LAYING fBodyAcc-mean()-Y -0.930366906078431
195 15 LAYING fBodyAcc-mean()-Y -0.962461124305556
196 16 LAYING fBodyAcc-mean()-Y -0.963635575142857
197 17 LAYING fBodyAcc-mean()-Y -0.954648102253521
198 18 LAYING fBodyAcc-mean()-Y -0.984909884615385
199 19 LAYING fBodyAcc-mean()-Y -0.972798824096386
200 20 LAYING fBodyAcc-mean()-Y -0.965595958382353
201 21 LAYING fBodyAcc-mean()-Y -0.960069247
202 22 LAYING fBodyAcc-mean()-Y -0.925524703472222
203 23 LAYING fBodyAcc-mean()-Y -0.982072295833333
204 24 LAYING fBodyAcc-mean()-Y -0.980830362083333
205 25 LAYING fBodyAcc-mean()-Y -0.78494581909589
206 26 LAYING fBodyAcc-mean()-Y -0.983664034342105
207 27 LAYING fBodyAcc-mean()-Y -0.982915951891892
208 28 LAYING fBodyAcc-mean()-Y -0.958436369
209 29 LAYING fBodyAcc-mean()-Y -0.989034304057971
210 30 LAYING fBodyAcc-mean()-Y -0.959974274571429
211 1 SITTING fBodyAcc-mean()-Y -0.944084550425532
212 2 SITTING fBodyAcc-mean()-Y -0.957343498478261
213 3 SITTING fBodyAcc-mean()-Y -0.891907751346154
214 4 SITTING fBodyAcc-mean()-Y -0.9057829318
215 5 SITTING fBodyAcc-mean()-Y -0.921434735681818
216 6 SITTING fBodyAcc-mean()-Y -0.928264365454545
217 7 SITTING fBodyAcc-mean()-Y -0.93149063375
218 8 SITTING fBodyAcc-mean()-Y -0.94421971826087
219 9 SITTING fBodyAcc-mean()-Y -0.911683219
220 10 SITTING fBodyAcc-mean()-Y -0.9404502
221 11 SITTING fBodyAcc-mean()-Y -0.934503182830189
222 12 SITTING fBodyAcc-mean()-Y -0.942768016862745
223 13 SITTING fBodyAcc-mean()-Y -0.959673916122449
224 14 SITTING fBodyAcc-mean()-Y -0.932644766111111
225 15 SITTING fBodyAcc-mean()-Y -0.938926430779661
226 16 SITTING fBodyAcc-mean()-Y -0.961456685507246
227 17 SITTING fBodyAcc-mean()-Y -0.96992798921875
228 18 SITTING fBodyAcc-mean()-Y -0.976538530350877
229 19 SITTING fBodyAcc-mean()-Y -0.960763181917808
230 20 SITTING fBodyAcc-mean()-Y -0.945198619242424
231 21 SITTING fBodyAcc-mean()-Y -0.968060947058824
232 22 SITTING fBodyAcc-mean()-Y -0.939546007903226
233 23 SITTING fBodyAcc-mean()-Y -0.953460406470588
234 24 SITTING fBodyAcc-mean()-Y -0.962773200147059
235 25 SITTING fBodyAcc-mean()-Y -0.959117259384615
236 26 SITTING fBodyAcc-mean()-Y -0.954299410641026
237 27 SITTING fBodyAcc-mean()-Y -0.974057855571429
238 28 SITTING fBodyAcc-mean()-Y -0.946351650416667
239 29 SITTING fBodyAcc-mean()-Y -0.969609501666667
240 30 SITTING fBodyAcc-mean()-Y -0.954076042258065
241 1 STANDING fBodyAcc-mean()-Y -0.977070847735849
242 2 STANDING fBodyAcc-mean()-Y -0.959871697407407
243 3 STANDING fBodyAcc-mean()-Y -0.908075353770492
244 4 STANDING fBodyAcc-mean()-Y -0.889549205
245 5 STANDING fBodyAcc-mean()-Y -0.890796360535714
246 6 STANDING fBodyAcc-mean()-Y -0.930336471754386
247 7 STANDING fBodyAcc-mean()-Y -0.941883783773585
248 8 STANDING fBodyAcc-mean()-Y -0.9500491
249 9 STANDING fBodyAcc-mean()-Y -0.944849431777778
250 10 STANDING fBodyAcc-mean()-Y -0.923378745227273
251 11 STANDING fBodyAcc-mean()-Y -0.968703072553191
252 12 STANDING fBodyAcc-mean()-Y -0.932775677704918
253 13 STANDING fBodyAcc-mean()-Y -0.959427618245614
254 14 STANDING fBodyAcc-mean()-Y -0.942178248333333
255 15 STANDING fBodyAcc-mean()-Y -0.943348788679245
256 16 STANDING fBodyAcc-mean()-Y -0.96931401525641
257 17 STANDING fBodyAcc-mean()-Y -0.97417056948718
258 18 STANDING fBodyAcc-mean()-Y -0.961239135479452
259 19 STANDING fBodyAcc-mean()-Y -0.952872872465753
260 20 STANDING fBodyAcc-mean()-Y -0.898194212465753
261 21 STANDING fBodyAcc-mean()-Y -0.949694904269663
262 22 STANDING fBodyAcc-mean()-Y -0.929161387619048
263 23 STANDING fBodyAcc-mean()-Y -0.962831825294118
264 24 STANDING fBodyAcc-mean()-Y -0.948970158405797
265 25 STANDING fBodyAcc-mean()-Y -0.959846189054054
266 26 STANDING fBodyAcc-mean()-Y -0.958402317837838
267 27 STANDING fBodyAcc-mean()-Y -0.961356141125
268 28 STANDING fBodyAcc-mean()-Y -0.893430392658228
269 29 STANDING fBodyAcc-mean()-Y -0.973345770461538
270 30 STANDING fBodyAcc-mean()-Y -0.919475121186441
271 1 WALKING fBodyAcc-mean()-Y 0.0897127264021053
272 2 WALKING fBodyAcc-mean()-Y -0.0219048103322034
273 3 WALKING fBodyAcc-mean()-Y -0.0813024353275862
274 4 WALKING fBodyAcc-mean()-Y -0.14939963344
275 5 WALKING fBodyAcc-mean()-Y 0.00946037755178572
276 6 WALKING fBodyAcc-mean()-Y 0.140781621991228
277 7 WALKING fBodyAcc-mean()-Y -0.0641564202736842
278 8 WALKING fBodyAcc-mean()-Y 0.316982393333333
279 9 WALKING fBodyAcc-mean()-Y -0.257677616153846
280 10 WALKING fBodyAcc-mean()-Y 0.0533911909886792
281 11 WALKING fBodyAcc-mean()-Y -0.0830478435976271
282 12 WALKING fBodyAcc-mean()-Y -0.071302455092
283 13 WALKING fBodyAcc-mean()-Y 0.0955150666694737
284 14 WALKING fBodyAcc-mean()-Y -0.174601844847458
285 15 WALKING fBodyAcc-mean()-Y 0.111321097159074
286 16 WALKING fBodyAcc-mean()-Y -0.321500667843137
287 17 WALKING fBodyAcc-mean()-Y -0.0650267622126229
288 18 WALKING fBodyAcc-mean()-Y -0.24360627125
289 19 WALKING fBodyAcc-mean()-Y 0.169258575663077
290 20 WALKING fBodyAcc-mean()-Y 0.403465950921569
291 21 WALKING fBodyAcc-mean()-Y 0.0338465813711538
292 22 WALKING fBodyAcc-mean()-Y 0.145367520371739
293 23 WALKING fBodyAcc-mean()-Y -0.0724367317966102
294 24 WALKING fBodyAcc-mean()-Y -0.203193741396552
295 25 WALKING fBodyAcc-mean()-Y -0.251880271094595
296 26 WALKING fBodyAcc-mean()-Y -0.146702156576271
297 27 WALKING fBodyAcc-mean()-Y -0.13678354122807
298 28 WALKING fBodyAcc-mean()-Y -0.127912276044444
299 29 WALKING fBodyAcc-mean()-Y -0.0349642325433962
300 30 WALKING fBodyAcc-mean()-Y -0.193856663907692
301 1 WALKING_DOWNSTAIRS fBodyAcc-mean()-Y 0.00154990783591837
302 2 WALKING_DOWNSTAIRS fBodyAcc-mean()-Y 0.278345041765957
303 3 WALKING_DOWNSTAIRS fBodyAcc-mean()-Y -0.00770048300204082
304 4 WALKING_DOWNSTAIRS fBodyAcc-mean()-Y -0.129606639466667
305 5 WALKING_DOWNSTAIRS fBodyAcc-mean()-Y 0.0792280694042553
306 6 WALKING_DOWNSTAIRS fBodyAcc-mean()-Y 0.339771173822917
307 7 WALKING_DOWNSTAIRS fBodyAcc-mean()-Y -0.145302311446808
308 8 WALKING_DOWNSTAIRS fBodyAcc-mean()-Y 0.388412779763158
309 9 WALKING_DOWNSTAIRS fBodyAcc-mean()-Y -0.183120455428571
310 10 WALKING_DOWNSTAIRS fBodyAcc-mean()-Y 0.00904660360263158
311 11 WALKING_DOWNSTAIRS fBodyAcc-mean()-Y 0.0247508134326087
312 12 WALKING_DOWNSTAIRS fBodyAcc-mean()-Y 0.150510001156522
313 13 WALKING_DOWNSTAIRS fBodyAcc-mean()-Y -0.0364535247659574
314 14 WALKING_DOWNSTAIRS fBodyAcc-mean()-Y 0.3714824704
315 15 WALKING_DOWNSTAIRS fBodyAcc-mean()-Y 0.167518099964286
316 16 WALKING_DOWNSTAIRS fBodyAcc-mean()-Y -0.134598352726809
317 17 WALKING_DOWNSTAIRS fBodyAcc-mean()-Y -0.130272514565217
318 18 WALKING_DOWNSTAIRS fBodyAcc-mean()-Y -0.309049613818182
319 19 WALKING_DOWNSTAIRS fBodyAcc-mean()-Y 0.494457802230769
320 20 WALKING_DOWNSTAIRS fBodyAcc-mean()-Y 0.524187686888889
321 21 WALKING_DOWNSTAIRS fBodyAcc-mean()-Y 0.181138042506667
322 22 WALKING_DOWNSTAIRS fBodyAcc-mean()-Y 0.225766560777778
323 23 WALKING_DOWNSTAIRS fBodyAcc-mean()-Y 0.0959432893981482
324 24 WALKING_DOWNSTAIRS fBodyAcc-mean()-Y -0.0861829752472727
325 25 WALKING_DOWNSTAIRS fBodyAcc-mean()-Y -0.196381053741379
326 26 WALKING_DOWNSTAIRS fBodyAcc-mean()-Y -0.006237000044
327 27 WALKING_DOWNSTAIRS fBodyAcc-mean()-Y -0.0626729573068182
328 28 WALKING_DOWNSTAIRS fBodyAcc-mean()-Y 0.186441733869565
329 29 WALKING_DOWNSTAIRS fBodyAcc-mean()-Y -0.02122937175
330 30 WALKING_DOWNSTAIRS fBodyAcc-mean()-Y -0.0216637054241935
331 1 WALKING_UPSTAIRS fBodyAcc-mean()-Y -0.190976720811321
332 2 WALKING_UPSTAIRS fBodyAcc-mean()-Y 0.00992445881854167
333 3 WALKING_UPSTAIRS fBodyAcc-mean()-Y -0.0788094156644068
334 4 WALKING_UPSTAIRS fBodyAcc-mean()-Y -0.117109161492308
335 5 WALKING_UPSTAIRS fBodyAcc-mean()-Y 0.0728903158085106
336 6 WALKING_UPSTAIRS fBodyAcc-mean()-Y 0.0978035099588235
337 7 WALKING_UPSTAIRS fBodyAcc-mean()-Y -0.381590523137255
338 8 WALKING_UPSTAIRS fBodyAcc-mean()-Y 0.263431399878049
339 9 WALKING_UPSTAIRS fBodyAcc-mean()-Y -0.405022798163265
340 10 WALKING_UPSTAIRS fBodyAcc-mean()-Y -0.0390688222212766
341 11 WALKING_UPSTAIRS fBodyAcc-mean()-Y -0.254645206944444
342 12 WALKING_UPSTAIRS fBodyAcc-mean()-Y -0.168341519859615
343 13 WALKING_UPSTAIRS fBodyAcc-mean()-Y -0.0636564765818182
344 14 WALKING_UPSTAIRS fBodyAcc-mean()-Y 0.0163939234574074
345 15 WALKING_UPSTAIRS fBodyAcc-mean()-Y -0.1019354328
346 16 WALKING_UPSTAIRS fBodyAcc-mean()-Y -0.268063812745098
347 17 WALKING_UPSTAIRS fBodyAcc-mean()-Y -0.1175197356
348 18 WALKING_UPSTAIRS fBodyAcc-mean()-Y -0.363450742586207
349 19 WALKING_UPSTAIRS fBodyAcc-mean()-Y 0.111818164225
350 20 WALKING_UPSTAIRS fBodyAcc-mean()-Y -0.0293832440223529
351 21 WALKING_UPSTAIRS fBodyAcc-mean()-Y 0.0221598658106383
352 22 WALKING_UPSTAIRS fBodyAcc-mean()-Y 0.13068653882619
353 23 WALKING_UPSTAIRS fBodyAcc-mean()-Y -0.0769773944803922
354 24 WALKING_UPSTAIRS fBodyAcc-mean()-Y -0.252412541966102
355 25 WALKING_UPSTAIRS fBodyAcc-mean()-Y -0.380150805384615
356 26 WALKING_UPSTAIRS fBodyAcc-mean()-Y -0.185528313272727
357 27 WALKING_UPSTAIRS fBodyAcc-mean()-Y -0.249688517843137
358 28 WALKING_UPSTAIRS fBodyAcc-mean()-Y -0.190589069119608
359 29 WALKING_UPSTAIRS fBodyAcc-mean()-Y -0.196011503540816
360 30 WALKING_UPSTAIRS fBodyAcc-mean()-Y -0.297813768569231
361 1 LAYING fBodyAcc-mean()-Z -0.8826668762
362 2 LAYING fBodyAcc-mean()-Z -0.984380981875
363 3 LAYING fBodyAcc-mean()-Z -0.968332141612903
364 4 LAYING fBodyAcc-mean()-Z -0.967504278888889
365 5 LAYING fBodyAcc-mean()-Z -0.977007724615385
366 6 LAYING fBodyAcc-mean()-Z -0.938044912280702
367 7 LAYING fBodyAcc-mean()-Z -0.958611644615385
368 8 LAYING fBodyAcc-mean()-Z -0.944269514074074
369 9 LAYING fBodyAcc-mean()-Z -0.9459190006
370 10 LAYING fBodyAcc-mean()-Z -0.964300845172414
371 11 LAYING fBodyAcc-mean()-Z -0.973576812807018
372 12 LAYING fBodyAcc-mean()-Z -0.954724801666667
373 13 LAYING fBodyAcc-mean()-Z -0.966295582741935
374 14 LAYING fBodyAcc-mean()-Z -0.927882307058824
375 15 LAYING fBodyAcc-mean()-Z -0.95156594625
376 16 LAYING fBodyAcc-mean()-Z -0.974580069142857
377 17 LAYING fBodyAcc-mean()-Z -0.965406091549296
378 18 LAYING fBodyAcc-mean()-Z -0.988606906307692
379 19 LAYING fBodyAcc-mean()-Z -0.985340447349398
380 20 LAYING fBodyAcc-mean()-Z -0.976392651323529
381 21 LAYING fBodyAcc-mean()-Z -0.961772190555556
382 22 LAYING fBodyAcc-mean()-Z -0.954219235555556
383 23 LAYING fBodyAcc-mean()-Z -0.977515213888889
384 24 LAYING fBodyAcc-mean()-Z -0.976634815694444
385 25 LAYING fBodyAcc-mean()-Z -0.816197953561644
386 26 LAYING fBodyAcc-mean()-Z -0.984923123552632
387 27 LAYING fBodyAcc-mean()-Z -0.987356589864865
388 28 LAYING fBodyAcc-mean()-Z -0.961115672375
389 29 LAYING fBodyAcc-mean()-Z -0.989473926666667
390 30 LAYING fBodyAcc-mean()-Z -0.970321991714286
391 1 SITTING fBodyAcc-mean()-Z -0.959184889148936
392 2 SITTING fBodyAcc-mean()-Z -0.970162172608696
393 3 SITTING fBodyAcc-mean()-Z -0.917987925384615
394 4 SITTING fBodyAcc-mean()-Z -0.9517837432
395 5 SITTING fBodyAcc-mean()-Z -0.946064216818182
396 6 SITTING fBodyAcc-mean()-Z -0.935798115272727
397 7 SITTING fBodyAcc-mean()-Z -0.904675337916667
398 8 SITTING fBodyAcc-mean()-Z -0.959436275869565
399 9 SITTING fBodyAcc-mean()-Z -0.8922013438
400 10 SITTING fBodyAcc-mean()-Z -0.97464465462963
401 11 SITTING fBodyAcc-mean()-Z -0.972855110377359
402 12 SITTING fBodyAcc-mean()-Z -0.954626628823529
403 13 SITTING fBodyAcc-mean()-Z -0.956183063510204
404 14 SITTING fBodyAcc-mean()-Z -0.944126078888889
405 15 SITTING fBodyAcc-mean()-Z -0.963227004915254
406 16 SITTING fBodyAcc-mean()-Z -0.959552230434783
407 17 SITTING fBodyAcc-mean()-Z -0.97484160453125
408 18 SITTING fBodyAcc-mean()-Z -0.982996441403509
409 19 SITTING fBodyAcc-mean()-Z -0.96633509109589
410 20 SITTING fBodyAcc-mean()-Z -0.947597457121212
411 21 SITTING fBodyAcc-mean()-Z -0.970859342941176
412 22 SITTING fBodyAcc-mean()-Z -0.946635312419355
413 23 SITTING fBodyAcc-mean()-Z -0.942031166764706
414 24 SITTING fBodyAcc-mean()-Z -0.966991781176471
415 25 SITTING fBodyAcc-mean()-Z -0.974776131230769
416 26 SITTING fBodyAcc-mean()-Z -0.967519149358974
417 27 SITTING fBodyAcc-mean()-Z -0.974665817
